id,titre,description,service,date
ZTU-075-KD,injury,Employee altercation in the break room,Facility Maintenance,2023/02/23
YNX-024-YP,injury,Employee altercation in the break room,Facility Maintenance,2015/11/19
YEZ-828-VZ,chemical spill,Chemical spill in the laboratory,Facility Maintenance,2016/07/24
ALB-918-YB,injury,Employee altercation in the break room,Logistics and Supply Chain,2020/03/20
WTJ-561-RF,equipment malfunction,Equipment malfunction during operation,Facility Maintenance,2023/03/16
WAC-579-BU,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2022/05/04
KAE-743-SI,injury,Employee altercation in the break room,Energy Efficiency Solutions,2023/08/14
XEP-158-MH,chemical spill,Chemical spill in the laboratory,Industrial Automation,2021/08/08
EII-049-MX,fire incident,Fire incident in the storage area,Manufacturing Solutions,2017/09/23
JZX-945-WL,injury,Employee altercation in the break room,Energy Efficiency Solutions,2014/09/16
RFY-994-EM,injury,Employee altercation in the break room,Manufacturing Solutions,2020/10/12
GDN-162-WX,fire incident,Fire incident in the storage area,Facility Maintenance,2023/06/22
FKF-010-GV,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2018/11/28
GZR-281-BZ,injury,Employee altercation in the break room,Facility Maintenance,2023/05/11
UHL-508-JC,slip and fall,Slip and fall accident in the hallway,Logistics and Supply Chain,2022/07/16
KEE-219-FL,chemical spill,Chemical spill in the laboratory,Facility Maintenance,2019/04/24
OMF-497-KZ,fire incident,Fire incident in the storage area,Facility Maintenance,2019/10/01
RGL-118-RP,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2022/01/02
QKU-266-FE,injury,Employee altercation in the break room,Manufacturing Solutions,2016/04/22
OXZ-320-NP,fire incident,Fire incident in the storage area,Industrial Automation,2023/11/09
DHK-377-ID,slip and fall,Slip and fall accident in the hallway,Facility Maintenance,2022/12/21
FKW-344-GZ,injury,Employee altercation in the break room,Manufacturing Solutions,2016/06/24
FRB-642-SV,equipment malfunction,Equipment malfunction during operation,Manufacturing Solutions,2019/12/13
NQM-616-KZ,equipment malfunction,Equipment malfunction during operation,Energy Efficiency Solutions,2015/05/19
DQZ-155-WM,fire incident,Fire incident in the storage area,Energy Efficiency Solutions,2014/06/09
